Product Page,Product URL,Title,Description,SKU,Price,Sale Price,On Sale,Categories
paper-products,smart-comfort,SMART COMFORT (Code: 3010043),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft and absorbent toilet paper roll, white embossed, 100% water soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 65g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 57g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 19.4m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 176 double</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>8 rolls per pack.<br>Bundle: 8 packs.<br>Pallet: 36 bundles.</p></li></ul>",SQ8108046,0,0,No,/kitchen-towels
paper-products,comfort-soft-plus,COMFORT SOFT PLUS (Code: 3010035),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft and absorbent, aloe vera scent toilet paper roll, white embossed, 100% water soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 100g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 92g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 15.6m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 142 double</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>8 rolls per pack.<br>Bundle: 8 packs.<br>Pallet: 33 bundles.</p></li></ul>",SQ7812654,0,0,No,/toilet-paper
paper-products,softness-comfort,SOFTNESS COMFORT (Code: 3010042),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Very soft and absorbent toilet paper roll, white embossed, 100% water soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 8.9cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 70g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 62g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 26.2m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 238 double</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>10 rolls per pack.<br>Bundle: 7 packs.<br>Pallet: 21 bundles.</p></li></ul>",SQ8721621,0,0,No,/toilet-paper
paper-products,comfort-xxl-family-pack,COMFORT XXL FAMILY PACK (Code: 3010031),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Very soft and absorbent toilet paper roll, in a package of 16 rolls, white embossed, 100% water soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 83g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 75g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 22.4m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 204 double</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>16 rolls per pack.<br>Bundle: 3 packs.<br>Pallet: 30 bundles.</p></li></ul>",SQ5424701,0,0,No,/toilet-paper
paper-products,premium-care,PREMIUM CARE (Code: 3010024),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft and absorbent, aloe vera scent toilet paper roll, white gofre, 100% water soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 80g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 72g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 15.6m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 142 triple</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>8 rolls per pack.<br>Bundle: 8 packs.<br>Pallet: 33 bundles.</p></li></ul>",SQ7320203,0,0,No,/toilet-paper
paper-products,premium-aroma,PREMIUM AROMA (Code: 3010006),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft, extra absorbent, very long toilet paper roll with pleasant aloe vera scent, white gofre, 100% water soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 150g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 142g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 30.8m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 280 triple</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>8 rolls per pack.<br>Bundle: 6 packs.<br>Pallet: 27 bundles.</p></li></ul>",SQ5720543,0,0,No,/toilet-paper
paper-products,premium-care-plus,PREMIUM CARE PLUS (Code: 3010023),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft and absorbent, aloe vera scent toilet paper roll, white gofre, 100% water soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 80g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 72g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 15.6m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 142 triple</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>12 rolls per pack.<br>Bundle: 6 packs.<br>Pallet: 22 bundles.</p></li></ul>",SQ3601534,0,0,No,/toilet-paper
paper-products,velour,VELOUR (Code: 3011072),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Velour toilet paper, 10 rolls, white embossed 3 plies, high-quality absorbent material.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 125g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 117g</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 25.4m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 231 triple</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>10 rolls per pack.<br>Bundle: 7 packs.<br>Pallet: 21 bundles.</p></li></ul>",SQ7423140,0,0,No,/toilet-paper
paper-products,pro,PRO (Code: 3010011),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft and absorbent, white gofre toilet paper roll, 100% water-soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 65g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 57g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 19.4m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 176 double</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>40 rolls per pack.<br>Pallet: 50 packages.</p></li></ul>",SQ1186221,0,0,No,/kitchen-towels
paper-products,pro-plus,PRO PLUS (Code: 3010007),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft and absorbent, white embossed toilet paper roll, 100% water-soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 85g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 77g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 23.1m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 210 double</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>40 rolls per pack.<br>Pallet: 50 packages.</p></li></ul>",SQ0160078,0,0,No,/kitchen-towels
